Varname,Description,Codings_Expr,Description details,Options,Option codes,Age
z1FatherDepressLvl1,Father Depression,"c(""No""=0, ""Yes""=1)",,,,
z1fhrswrk,Father employed,,,,,
z1fhrswrk_previous,Father employed (prev year),,,,,
z1fhrswrkLvl1,Father employed ,"c(""Employed""=0, ""Not in the workforce""=1)",,,,
z1fsmoke,Father smokes,,,,,
z1fsmoke_previous,Father smokes (prev year),,,,,
z1fsmokeLvl1,Father smokes ,"c(""Non-smoker""=0, ""Smoker""=1)",,,,
z1GALvl1,Preterm Birth ,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1gender,Gender,"c(""Female""=0, ""Male""=1)",,Female/Male,==0/==1,
z1gender_ethLvl1,Gender-Ethnicity Interaction,"c(""Female, Not NZ Euro""=0, ""Male, NZ Eurp""=1)",,,,
z1gender_ethLvl2,Gender-Ethnicity Interaction,"c(""Female, Not Maori""=0, ""Male, Maori""=1)",,,,
z1gender_ethLvl3,Gender-Ethnicity Interaction,"c(""Female, Not Pacific""=0, ""Male, Pacific""=1)",,,,
z1genderLvl1,Gender ,"c(""Female""=0, ""Male""=1)",,Female/Male,==0/==1,At birth
z1HearingLvl1,Otitis media,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1HighBwLvl1,High Birthweight,"c(""<=4000g""=0, "">4000g""=1)",,,,
z1homeown,Renting/boarding,,,False/True,==0/==1,1--21
z1homeown_ethLvl1,Home owned-Ethnicity Interaction,"c(""Home owned, not NZ Euro""=0, ""Home not owned, NZ Euro""=1)",,,,
z1homeown_ethLvl2,Home owned-Ethnicity Interaction,"c(""Home owned, not Maori""=0, ""Home not owned, Maori""=1)",,,,
z1homeown_ethLvl3,Home owned-Ethnicity Interaction,"c(""Home owned, not Pacific""=0, ""Home not owned, Pacific""=1)",,,,
z1homeown_previous,Renting/boarding (prev year),,,,,
z1homeown_previous_ethLvl1,Home owned in previous year-Ethnicity Interaction,"c(""Home owned in previous year, not NZ Euro""=0, ""Home not owned in previous year, NZ Euro""=1)",,,,
z1homeown_previous_ethLvl2,Home owned in previous year-Ethnicity Interaction,"c(""Home owned in previous year, not Maori""=0, ""Home not owned in previous year, Maori""=1)",,,,
z1homeown_previous_ethLvl3,Home owned in previous year-Ethnicity Interaction,"c(""Home owned in previous year, not Pacific""=0, ""Home not owned in previous year, Pacific""=1)",,,,
z1homeown1,Renting/boarding Year 1,"c(""Own home""=0, ""Not owned""=1)",,Professional/Clerical/Semi-skilled,Lvl1==1/Lvl2==1/Lvl3==1,
z1homeownLvl1,Renting/boarding ,"c(""Own home""=0, ""Not owned""=1)",,,,
z1householdsize,Household size,,(ages 1-13: range 0-14),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,
z1householdsize_prev,Household size (prev year),,,,,
z1householdsizeLvl1,Household size ,"c(""Less than 4 people""=0, ""4 or more people""=1)",,,,
z1INTERACTLvl1,Maternal emotional responsiveness,"c(""No""=0, ""Yes""=1)",,,,5
z1kids,Kids ,,,,,
z1kids_previous,Kids (prev year),,,,,
z1kidsLvl1,Kids ,"c(""2 or fewer children""=0, ""Over 2 children""=1)",,,,
z1LowBwLvl1,Low Birthweight,"c("">=2500g""=0, ""<2500g""=1)",,,,
z1mhrswrk,Mother employed,,,,,
z1mhrswrk_previous,Mother employed (prev year),,,,,
z1mhrswrkLvl1,Mother employed,"c(""Employed""=0, ""Not in the workforce""=1)",,,,
z1MotherAlcLvl1,Mother Alcohol Abuse,"c(""No""=0, ""Yes""=1)",,,,
z1MotherDepressLvl1,Mother Depression,"c(""No""=0, ""Yes""=1)",,,,
z1msmoke_previous,Mother smokes (prev year),,,,,
z1msmokeLvl1,Mother smokes,"c(""Non-smoker""=0, ""Smoker""=1)",,,,
z1NEETLvl1,"Not in employment, education, or training (NEET)","c(""Not NEET""=0, ""NEET""=1)",,,,16--21
z1nicu,NICU at birth,,(range 0-3),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,
z1ObeseLvl1,Obesity,"c(""No""=0, ""Obese""=1)",,,,2--21
z1overcrowd,Overcrowding ,,,,,
z1overcrowd_ethLvl1,Overcrowding-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded, NZ Euro""=1)",,,,
z1overcrowd_ethLvl2,Overcrowding-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded, Maori""=1)",,,,
z1overcrowd_ethLvl3,Overcrowding-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded, Pacific""=1)",,,,
z1overcrowd_previous,Overcrowding previous,,,,,
z1overcrowd_previous_ethLvl1,Overcrowding in previous year-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded in previous year, NZ Euro""=1)",,,,
z1overcrowd_previous_ethLvl2,Overcrowding in previous year-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded in previous year, Maori""=1)",,,,
z1overcrowd_previous_ethLvl3,Overcrowding in previous year-Ethnicity Interaction,"c(""Not""=0, ""Overcrowded in previous year, Pacific""=1)",,,,
z1overcrowdLvl1,Overcrowding,"c(""No overcrowding""=0, ""Overcrowding""=1)",,,,1--21
z1OverweightLvl1,Overweight,"c(""No""=0, ""Overweight""=1)",,,,2--21
z1ParentAlcLvl1,Parental Alcohol Abuse,"c(""No""=0, ""Yes""=1)",,,,2--21
z1ParentAlcPreLvl1,Parental Alcohol Abuse in Previous year,"c(""No""=0, ""Yes""=1)",,,,
z1ParentDepressLvl1,Parental Depression,"c(""No""=0, ""Yes""=1)",,,,2--21
z1ParentDepressPreLvl1,Parental Depression in Previous year,"c(""No""=0, ""Yes""=1)",,,,
z1ParentInvolveLvl1,Reading Books to Baby,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1pregsmkLvl1,Cigarettes smoked per day during pregnancy,"c(""No smoking in pregnancy""=0, ""Smoking in pregnancy""=1)",,,,
z1PrintExpLvl1,Print Exposure,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1PUNISHLvl1,Maternal punitiveness,"c(""No""=0, ""Yes""=1)",,,,5
r1Score,NCEA,"c(""Passed""=1, ""Failed""=2, ""Dropout""=3)",,,,17
z1single,Single parent family,,,False/True,==0/==1,
z1single_ethLvl2,Single-Ethnicity Interaction,"c(""Not""=0, ""Single, Maori""=1)",,,,
z1single_ethLvl3,Single-Ethnicity Interaction,"c(""Not""=0, ""Single, Pacific""=1)",,,,
z1single_previous,Single parent family (prev year),,,,,
z1single_previous_ethLvl1,Single (in previous year)-Ethnicity Interaction,"c(""Not""=0, ""Single, NZ Euro""=1)",,,,
z1single_previous_ethLvl2,Single (in previous year)-Ethnicity Interaction,"c(""Not""=0, ""Single, Maori""=1)",,,,
z1single_previous_ethLvl3,Single (in previous year)-Ethnicity Interaction,"c(""Not""=0, ""Single, Pacific""=1)",,,,
z1single0,Single parent family at birth,"c(""Two parents""=0, ""Single parent""=1)",,False/True,==0/==1,
z1single0_ethLvl2,Single-Ethnicity Interaction,"c(""Two-parent family, Not Maori""=0, ""Single-parent family, Maori""=1)",,,,
z1single0_ethLvl3,Single-Ethnicity Interaction,"c(""Two-parent family, Not Pacific""=0, ""Single-parent family, Pacific""=1)",,,,
z1single0Lvl1,Single parent family at birth ,"c(""Two parents""=0, ""Single parent""=1)",,,,
z1singleLvl1,Single parent family ,"c(""Two parents""=0, ""Single parent""=1)",,,,1--21
z1smoke,Mother or father smokes,,,,,
z1stmDiabeteLvl1,Maternal Diabetes,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1twin,Twin birth,,,,,
z1twin_ethLvl1,Ethnicity-Twin Interaction,"c(""Not""=0, ""NZ Euro, Twin""=1)",,,,
z1twin_ethLvl2,Ethnicity-Twin Interaction,"c(""Not""=0, ""Maori, Twin""=1)",,,,
z1twin_ethLvl3,Ethnicity-Twin Interaction,"c(""Not""=0, ""Pacific, Twin""=1)",,,,
z1twinLvl1,Twin birth,"c(""Singleton""=0, ""Twin""=1)",,,,
z1WatchTVLvl1,TV hours,"c(""No""=0, ""Yes""=1)",,,,Childhood
z1ScoreLvl1,NCEA Pass,"c(""No""=0, ""Yes""=1)",,,,17
